date_match,log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,total_resc,in_year_resc,out_year_resc,short_term_resc,medium_term_resc,long_term_resc,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2011-06,-0.6410694051131474,-0.6867365940600979,-0.6726787662173515,-0.6867365940600979,-0.690741201953942,-0.6705066987655584,0.5267288362342065,0.5032155891438898,0.5103396644532208,0.5032155891438898,0.5012044376475939,0.5114493613597202,5.85,5.83,5.82,6.67,7.08,7.31,7.3
2011-07,-0.626933724527006,-0.6978572060987204,-0.6499631371599061,-0.6978572060987204,-0.6917297762911668,-0.6350233169718388,0.5342273804705566,0.49765052461859893,0.5220650212057067,0.49765052461859893,0.5007092046304898,0.5299231319707679,5.8,5.75,5.85,6.63,7.22,7.5,7.52
2011-08,-0.6547496033550684,-0.7056406303471505,-0.6844013170455983,-0.7056406303471505,-0.7320256964457982,-0.6662596187095322,0.5195721454222294,0.4937921346799061,0.5043921101591158,0.4937921346799061,0.4809337768382656,0.5136261469613617,5.73,5.73,5.7,6.31,7.04,7.35,7.35
2011-09,-0.5521310750187354,-0.655743743292639,-0.564537308691857,-0.655743743292639,-0.6300642593067067,-0.5373200092946373,0.5757215962255982,0.5190558746672238,0.568623182904917,0.5190558746672238,0.5325575781265879,0.5843121068956972,6,6.05,6.15,7.09,7.57,8.14,8.14
2011-10,-0.5682892344881877,-0.6353339646195284,-0.59279074656595,-0.6353339646195284,-0.6157433442243714,-0.5879172386093339,0.5664937481551634,0.5297585381630281,0.5527824543858462,0.5297585381630281,0.540239162353764,0.555483019342867,6.1,6.2,6.35,7.08,7.4,7.79,7.81
2011-11,-0.3783094073567534,-0.48138722624430064,-0.39156537552228793,-0.48138722624430064,-0.402498852175023,-0.3938836725170979,0.6850185181040657,0.6179255943626148,0.6759978553372163,0.6179255943626148,0.6686471064155685,0.674432506713276,6.78,7.58,7.67,8.83,8.87,8.92,8.91
2011-12,-0.3012337262664239,-0.42798911594919714,-0.30689136410826334,-0.42798911594919714,-0.37129200377656535,-0.28085149875471355,0.7399048173449178,0.6518185091858922,0.7357305233074315,0.6518185091858922,0.6898424755377088,0.7551404664538419,7.55,7.6,7.95,9.06,9.64,9.75,9.76
2012-01,-0.3721030433474684,-0.4398812570117402,-0.39680407718400995,-0.4398812570117402,-0.40631005379715324,-0.39979292183354387,0.6892832128151135,0.6441129004329323,0.6724657641131108,0.6441129004329323,0.6661036074514013,0.6704588690548232,7.48,7.49,7.85,8.6,8.83,8.89,8.86
2012-02,-0.4181776380885398,-0.4799272419852794,-0.44483971660780286,-0.4799272419852794,-0.44847431544852234,-0.45098764045485257,0.6582452886037936,0.6188284148951462,0.6409269977531565,0.6188284148951462,0.638601713527622,0.636998715143708,7.08,7.3,7.52,8.27,8.42,8.57,8.55
2012-03,-0.3687498456360105,-0.45462199506843903,-0.3874031881109241,-0.45462199506843903,-0.41384759321879655,-0.3812359438461496,0.691598395169645,0.6346878377420577,0.6788173486602563,0.6346878377420577,0.6611016999704652,0.6830167170156082,7.35,7.4,7.6,8.72,8.93,9.06,8.97
